feature,importance,std
entropy14,0.05326617612783085,0.03054445667067784
entropy14,0.05814691608313357,0.033505149715805566
entropy13,0.07452769109589495,0.034229254653469765
entropy29,0.07573900866960648,0.04023226544790691
28,0.07663122656530517,0.03661649829201474
entropy30,0.08102721862390527,0.03893983008229217
manu_37,0.0815766754598104,0.03955796778282649
29,0.08228693683023676,0.043102215074554466
entropy28,0.0840979049787829,0.03796606750113972
13,0.10241511177529121,0.04518452656745758
14,0.10436872189283869,0.06013196117291402
40,0.12591641189736372,0.05473087246156803
