feature,importance,std
40,0.035084907470092734,0.030179376299376705
entropy14,0.040081676135432086,0.03706640379159462
entropy28,0.054056785286679364,0.05236283301670319
entropy29,0.07027576392750204,0.0524525391043595
entropy13,0.07387764007403282,0.05954780345082733
entropy30,0.08434376809239406,0.0761037746982974
29,0.08986736025790497,0.09710637536511606
14,0.09762032854568387,0.117012045674825
28,0.11438766306143842,0.12896543294864427
manu_37,0.147356282887445,0.1125010287233543
13,0.19304782426139458,0.15995803157729263
