feature,importance,std
entropy29,0.034398338135077235,0.037023002217065844
entropy13,0.035731518338439426,0.036074799102002356
40,0.038024237856868544,0.04259978299497423
entropy14,0.0464097864177748,0.04627334336046492
29,0.0624276636120284,0.08018477632663532
entropy28,0.06330308616364791,0.04966787405384141
Sum,0.07908928995671986,0.05281829921700436
28,0.08224980794582537,0.08405382111108009
entropy30,0.0883552301462443,0.06897774244696288
14,0.12349440489307825,0.12115747164816085
manu_37,0.13773181267776524,0.12382398597038569
13,0.20878482385653063,0.15294957901122724
