combination_number,expert_1_order,expert_2_order,metrics
1,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy29', 'entropy28', 'entropy13', 'entropy14']","{'accuracy': 0.6610169410705566, 'precision': 0.6707317233085632, 'recall': np.float64(0.625), 'specificity': 0.6966292262077332, 'f1': 0.6470588445663452, 'auroc': 0.7086312770843506}"
2,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy29', 'entropy28', 'entropy14', 'entropy13']","{'accuracy': 0.598870038986206, 'precision': 0.6133333444595337, 'recall': np.float64(0.5227272727272727), 'specificity': 0.6741573214530945, 'f1': 0.5644171833992004, 'auroc': 0.6564096212387085}"
3,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy29', 'entropy13', 'entropy28', 'entropy14']","{'accuracy': 0.6779661178588867, 'precision': 0.6666666865348816, 'recall': np.float64(0.7045454545454546), 'specificity': 0.6516854166984558, 'f1': 0.6850828528404236, 'auroc': 0.7069714665412903}"
4,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy29', 'entropy13', 'entropy14', 'entropy28']","{'accuracy': 0.6610169410705566, 'precision': 0.6627907156944275, 'recall': np.float64(0.6477272727272727), 'specificity': 0.6741573214530945, 'f1': 0.6551724076271057, 'auroc': 0.6820735931396484}"
5,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy29', 'entropy14', 'entropy28', 'entropy13']","{'accuracy': 0.6666666865348816, 'precision': 0.6790123581886292, 'recall': np.float64(0.625), 'specificity': 0.7078651785850525, 'f1': 0.6508875489234924, 'auroc': 0.7215269804000854}"
6,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy29', 'entropy14', 'entropy13', 'entropy28']","{'accuracy': 0.694915235042572, 'precision': 0.7179487347602844, 'recall': np.float64(0.6363636363636364), 'specificity': 0.7528089880943298, 'f1': 0.6746987700462341, 'auroc': 0.7330183982849121}"
7,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy28', 'entropy29', 'entropy13', 'entropy14']","{'accuracy': 0.7062146663665771, 'precision': 0.699999988079071, 'recall': np.float64(0.7159090909090909), 'specificity': 0.6966292262077332, 'f1': 0.7078651785850525, 'auroc': 0.7231869101524353}"
8,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy28', 'entropy29', 'entropy14', 'entropy13']","{'accuracy': 0.7288135886192322, 'precision': 0.7083333134651184, 'recall': np.float64(0.7727272727272727), 'specificity': 0.6853932738304138, 'f1': 0.739130437374115, 'auroc': 0.7219101190567017}"
9,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy28', 'entropy13', 'entropy29', 'entropy14']","{'accuracy': 0.6723163723945618, 'precision': 0.65625, 'recall': np.float64(0.7159090909090909), 'specificity': 0.6292135119438171, 'f1': 0.6847826242446899, 'auroc': 0.6980337500572205}"
10,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy28', 'entropy13', 'entropy14', 'entropy29']","{'accuracy': 0.7175140976905823, 'precision': 0.7021276354789734, 'recall': np.float64(0.75), 'specificity': 0.6853932738304138, 'f1': 0.7252747416496277, 'auroc': 0.7207610011100769}"
11,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy28', 'entropy14', 'entropy29', 'entropy13']","{'accuracy': 0.700564980506897, 'precision': 0.7011494040489197, 'recall': np.float64(0.6931818181818182), 'specificity': 0.7078651785850525, 'f1': 0.6971428394317627, 'auroc': 0.7263789772987366}"
12,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy28', 'entropy14', 'entropy13', 'entropy29']","{'accuracy': 0.6553672552108765, 'precision': 0.695652186870575, 'recall': np.float64(0.5454545454545454), 'specificity': 0.7640449404716492, 'f1': 0.6114649772644043, 'auroc': 0.7290602326393127}"
